id,grid_x,grid_y,n,k,t,alt_build_s,long_build_s,alt_query_s,long_query_s
grid_1x1_0,1.0,1.0,100000,1000,10000,0.044815,0.039764,2.196718,2.374954
grid_1x1_1,1.0,1.0,100000,1000,10000,0.038431,0.03361,2.157233,2.309866
grid_1x1_2,1.0,1.0,100000,1000,10000,0.035582,0.037977,2.337084,2.411191
grid_1x1_3,1.0,1.0,100000,1000,10000,0.037143,0.04509,1.969075,2.043493
grid_1x1_4,1.0,1.0,100000,1000,10000,0.031858,0.032846,2.021956,2.172742
grid_1x10_0,1.0,10.0,100000,1000,10000,0.0344,0.033234,2.847734,2.067363
grid_1x10_1,1.0,10.0,100000,1000,10000,0.033159,0.034564,2.922044,2.085
grid_1x10_2,1.0,10.0,100000,1000,10000,0.033577,0.03208,2.876396,1.997505
grid_1x10_3,1.0,10.0,100000,1000,10000,0.034606,0.038773,2.885565,2.002255
grid_1x10_4,1.0,10.0,100000,1000,10000,0.032668,0.033513,2.893332,2.074463
grid_1x100_0,1.0,100.0,100000,1000,10000,0.034902,0.031953,4.078887,1.824458
grid_1x100_1,1.0,100.0,100000,1000,10000,0.027833,0.025153,3.71532,1.574098
grid_1x100_2,1.0,100.0,100000,1000,10000,0.02621,0.026602,3.445779,1.705315
grid_1x100_3,1.0,100.0,100000,1000,10000,0.028364,0.024828,4.039786,1.793934
grid_1x100_4,1.0,100.0,100000,1000,10000,0.034463,0.03161,4.100041,1.807965
